IRN,School District,County,FY12 Expenditures,FY12 Ending Cash,FY12 Cash as percentages of Expenses,FY13 Expenditures,FY13 Ending Cash,FY13 Cash as percentages of Expenses,FY14 Expenditures,FY14 Ending Cash,FY14 Cash as percentages of Expenses,FY15 Expenditures,FY15 Ending Cash,FY15 Cash as percentages of Expenses,FY16 Expenditures,FY16 Ending Cash,FY16 Cash as percentages of Expenses,5-Year Average,Typology
043687,Bucyrus City,Crawford," $15,767,358 "," $4,676,561 ",29.66%," $14,287,756 "," $4,372,247 ",30.60%," $15,081,883 "," $4,035,098 ",26.75%,"$15,728,895","$4,198,687",26.7%,"$15,843,526","$6,012,915",38.0%,30.3%,4
043695,Cambridge City,Guernsey," $20,316,049 "," $1,739,874 ",8.56%," $20,351,528 "," $1,327,072 ",6.52%," $20,953,295 "," $1,617,377 ",7.72%,"$21,579,926","$1,581,689",7.3%,"$21,079,772","$2,705,547",12.8%,8.6%,4
043703,Campbell City,Mahoning," $13,392,882 "," $1,039,112 ",7.76%," $13,990,767 "," $308,684 ",2.21%," $13,515,413 "," $307,697 ",2.28%,"$13,582,453","$1,830,745",13.5%,"$14,673,789","$3,689,845",25.1%,10.2%,7
043711,Canton City,Stark," $103,205,605 "," $15,212,908 ",14.74%," $104,589,623 "," $14,142,407 ",13.52%," $111,484,608 "," $8,830,032 ",7.92%,"$115,560,417","$6,672,125",5.8%,"$115,264,208","$14,539,691",12.6%,10.9%,7
043729,Celina City,Mercer," $28,938,234 "," $9,092,967 ",31.42%," $29,251,745 "," $6,838,985 ",23.38%," $28,284,553 "," $7,445,788 ",26.32%,"$28,928,435","$8,587,330",29.7%,"$30,426,115","$8,997,640",29.6%,28.1%,4
043737,Centerville City,Montgomery," $83,853,813 "," $20,157,050 ",24.04%," $84,103,459 "," $15,903,864 ",18.91%," $83,727,819 "," $19,705,228 ",23.53%,"$85,497,440","$28,382,709",33.2%,"$87,875,809","$36,595,050",41.6%,28.3%,6
043745,Chillicothe City,Ross," $28,442,023 "," $1,907,173 ",6.71%," $26,691,897 "," $2,525,695 ",9.46%," $27,295,311 "," $4,255,084 ",15.59%,"$29,195,148","$6,304,237",21.6%,"$30,245,412","$8,317,466",27.5%,16.2%,4
043752,Cincinnati City,Hamilton," $445,859,602 "," $45,850,130 ",10.28%," $448,524,749 "," $56,898,627 ",12.69%," $505,036,281 "," $52,979,171 ",10.49%,"$507,858,674","$58,681,138",11.6%,"$519,211,546","$66,446,103",12.8%,11.6%,8
043760,Circleville City,Pickaway," $21,748,180 "," $14,472,322 ",66.54%," $20,849,613 "," $15,265,223 ",73.22%," $27,715,207 "," $15,024,034 ",54.21%,"$26,288,216","$12,661,539",48.2%,"$23,563,429","$14,636,147",62.1%,60.8%,4
043778,Claymont City,Tuscarawas," $18,413,499 "," $2,974,116 ",16.15%," $17,746,116 "," $3,114,120 ",17.55%," $18,623,595 "," $3,237,807 ",17.39%,"$19,007,870","$4,757,956",25.0%,"$19,858,742","$5,548,925",27.9%,20.8%,1
043786,Cleveland Municipal,Cuyahoga," $642,492,833 "," $46,626,243 ",7.26%," $633,589,045 "," $69,349,025 ",10.95%," $668,153,244 "," $98,511,656 ",14.74%,"$701,193,752","$88,894,356",12.7%,"$701,845,332","$98,886,924",14.1%,11.9%,8
043794,Cleveland Heights-University Heights City,Cuyahoga," $112,269,598 "," $29,446,629 ",26.23%," $118,136,843 "," $21,711,469 ",18.38%," $115,727,306 "," $26,366,387 ",22.78%,"$112,010,081","$21,751,270",19.4%,"$112,453,914","$16,168,597",14.4%,20.2%,5
043802,Columbus City School District,Franklin," $759,537,301 "," $119,706,632 ",15.76%," $788,995,309 "," $120,605,461 ",15.29%," $762,783,908 "," $120,198,371 ",15.76%,"$790,293,283","$138,873,289",17.6%,"$811,808,942","$131,895,373",16.2%,16.1%,8
043810,Conneaut Area City,Ashtabula," $17,178,474 "," $2,996,425 ",17.44%," $16,232,926 "," $2,937,981 ",18.10%," $16,263,319 "," $3,247,122 ",19.97%,"$16,748,553","$3,186,715",19.0%,"$16,587,762","$3,708,002",22.4%,19.4%,4
043828,Coshocton City,Coshocton," $16,200,079 "," $2,225,575 ",13.74%," $15,682,381 "," $2,075,026 ",13.23%," $16,745,280 "," $1,600,654 ",9.56%,"$17,389,171","$1,522,566",8.8%,-,-,-,11.3%,4
043836,Cuyahoga Falls City,Summit," $45,864,698 "," $4,031,470 ",8.79%," $46,489,497 "," $4,486,603 ",9.65%," $47,954,417 "," $4,546,917 ",9.48%,"$50,148,726","$4,661,308",9.3%,"$51,263,350","$3,613,481",7.0%,8.9%,5
043844,Dayton City,Montgomery," $231,240,122 "," $19,989,712 ",8.64%," $223,666,973 "," $11,242,816 ",5.03%," $227,383,703 "," $7,962,957 ",3.50%,"$230,276,536","$15,561,421",6.8%,"$227,332,089","$32,836,895",14.4%,7.7%,8
043851,Deer Park Community City,Hamilton," $13,596,241 "," $5,368,801 ",39.49%," $13,741,106 "," $4,853,348 ",35.32%," $13,413,601 "," $6,328,861 ",47.18%,"$13,924,563","$8,325,353",59.8%,"$14,564,073","$9,716,873",66.7%,49.7%,7
043869,Defiance City,Defiance," $21,202,653 "," $4,084,432 ",19.26%," $21,663,485 "," $4,749,832 ",21.93%," $21,994,785 "," $6,744,390 ",30.66%,"$23,151,185","$9,030,515",39.0%,"$26,210,248","$9,364,770",35.7%,29.3%,4
043877,Delaware City,Delaware," $43,434,158 "," $3,663,391 ",8.43%," $44,607,235 "," $5,766,825 ",12.93%," $47,479,232 "," $7,280,590 ",15.33%,"$49,539,574","$8,049,887",16.2%,"$50,700,234","$8,906,287",17.6%,14.1%,5
043885,Delphos City,Allen," $8,520,153 "," $229,411 ",2.69%," $8,725,708 "," $333,621 ",3.82%," $9,042,410 "," $480,527 ",5.31%,"$9,445,599","$667,076",7.1%,"$9,561,085","$1,114,631",11.7%,6.1%,3
043893,Dover City,Tuscarawas," $20,674,037 "," $8,927,846 ",43.18%," $20,562,890 "," $9,108,092 ",44.29%," $21,734,046 "," $8,979,230 ",41.31%,"$22,508,940","$8,681,718",38.6%,"$22,947,283","$8,432,784",36.7%,40.8%,3
043901,East Cleveland City School District,-, - , - ,-, - , - ,-, - , - ,-,-,-,-,"$51,864,593","$10,985,129",21.2%,21.2%,-
043919,East Liverpool City,Columbiana," $24,701,420 "," $5,451,762 ",22.07%," $24,758,184 "," $3,915,197 ",15.81%," $25,255,956 "," $3,644,866 ",14.43%,"$25,012,827","$4,381,134",17.5%,"$21,831,977","$4,213,127",19.3%,17.8%,4
043927,East Palestine City,Columbiana," $10,153,192 "," $1,188,526 ",11.71%," $10,030,367 "," $1,375,705 ",13.72%," $10,716,108 "," $1,350,008 ",12.60%,"$11,015,409","$1,400,848",12.7%,"$11,696,834","$1,011,181",8.6%,11.9%,1
043935,Eaton Community City,Preble," $19,910,018 "," $12,340,282 ",61.98%," $19,873,520 "," $11,888,355 ",59.82%," $23,854,447 "," $9,178,576 ",38.48%,"$22,475,828","$9,062,709",40.3%,"$22,249,474","$10,334,217",46.4%,49.4%,1
043943,Elyria City Schools,Lorain," $76,297,631 "," $6,243,808 ",8.18%," $74,453,326 "," $5,925,750 ",7.96%," $70,805,540 "," $10,726,254 ",15.15%,"$72,815,702","$17,504,077",24.0%,"$74,242,480","$23,673,549",31.9%,17.4%,7
043950,Euclid City,Cuyahoga," $70,695,892 "," $2,888,121 ",4.09%," $68,394,532 "," $1,688,478 ",2.47%," $70,154,118 "," $2,566,507 ",3.66%,"$72,863,581","$4,331,922",5.9%,"$75,405,951","$5,102,692",6.8%,4.6%,7
043968,Fairborn City,Greene," $41,883,999 "," $4,049,330 ",9.67%," $41,260,392 "," $3,877,615 ",9.40%," $39,063,027 "," $7,829,631 ",20.04%,"$40,426,407","$11,670,547",28.9%,"$41,046,435","$17,086,841",41.6%,21.9%,7
043976,Fairview Park City,Cuyahoga," $19,765,171 "," $13,296,682 ",67.27%," $18,973,825 "," $15,078,184 ",79.47%," $18,905,731 "," $17,162,036 ",90.78%,"$20,170,923","$17,799,141",88.2%,"$21,702,015","$17,506,350",80.7%,81.3%,5
043984,Findlay City,Hancock," $54,857,606 "," $11,176,204 ",20.37%," $53,615,665 "," $11,229,159 ",20.94%," $55,387,870 "," $12,513,009 ",22.59%,"$57,677,929","$13,764,048",23.9%,"$60,140,331","$13,597,042",22.6%,22.1%,7
043992,Fostoria City,Seneca," $22,473,834 "," $3,333,263 ",14.83%," $21,416,572 "," $1,324,963 ",6.19%," $20,452,524 "," $1,042,107 ",5.10%,"$19,592,401","$2,689,147",13.7%,"$19,958,166","$4,769,051",23.9%,12.7%,4
044008,Franklin City,Warren," $27,193,188 "," $4,889,156 ",17.98%," $28,319,192 "," $3,841,284 ",13.56%," $29,138,609 "," $2,460,205 ",8.44%,"$29,557,075","$3,430,106",11.6%,"$30,320,825","$6,362,607",21.0%,14.5%,4
044016,Fremont City,Sandusky," $33,890,302 "," $12,940,296 ",38.18%," $36,495,780 "," $11,648,499 ",31.92%," $37,203,829 "," $12,277,803 ",33.00%,"$38,608,431","$12,785,664",33.1%,"$38,241,395","$16,278,315",42.6%,35.8%,4
044024,Galion City,Crawford," $16,692,896 "," $1,217,059 ",7.29%," $15,820,123 "," $1,364,408 ",8.62%," $16,378,185 "," $1,872,010 ",11.43%,"$17,412,442","$2,647,114",15.2%,"$18,299,026","$3,689,845",20.2%,12.5%,4
044032,Gallipolis City,Gallia," $19,256,147 "," $1,711,190 ",8.89%," $19,041,147 "," $1,799,578 ",9.45%," $19,324,126 "," $1,770,703 ",9.16%,"$20,772,451","$517,039",2.5%,"$19,904,023","$202,067",1.0%,6.2%,4
044040,Garfield Heights City Schools,Cuyahoga," $35,384,848 "," $1,235,625 ",3.49%," $35,201,625 "," $867,081 ",2.46%," $37,065,702 "," $2,012,095 ",5.43%,"$40,313,041","$1,172,405",2.9%,"$41,171,584","$768,365",1.9%,3.2%,7
044057,Geneva Area City,Ashtabula," $21,262,223 "," $1,885,716 ",8.87%," $20,506,060 "," $2,811,836 ",13.71%," $20,721,235 "," $3,406,236 ",16.44%,"$21,173,797","$4,063,787",19.2%,"$21,479,155","$4,083,634",19.0%,15.4%,4
044065,Girard City School District,Trumbull," $14,008,392 "," $6,553,976 ",46.79%," $14,629,434 "," $5,863,737 ",40.08%," $14,593,556 "," $5,958,908 ",40.83%,"$15,468,438","$6,410,996",41.4%,"$15,862,630","$8,319,774",52.4%,44.3%,4
044073,Grandview Heights City,Franklin," $16,005,264 "," $6,843,494 ",42.76%," $15,601,854 "," $7,227,334 ",46.32%," $16,164,069 "," $4,377,826 ",27.08%,"$17,244,293","$4,125,247",23.9%,"$17,038,493","$5,275,093",31.0%,34.2%,6
044081,Winton Woods City,Hamilton," $40,965,517 "," $6,783,499 ",16.56%," $39,211,662 "," $10,345,990 ",26.38%," $40,776,789 "," $13,478,016 ",33.05%,"$42,139,518","$17,411,733",41.3%,"$45,540,925","$18,154,568",39.9%,31.4%,7
044099,Greenville City,Darke," $27,315,541 "," $6,889,792 ",25.22%," $26,982,204 "," $6,764,437 ",25.07%," $26,828,526 "," $7,708,177 ",28.73%,"$27,825,527","$9,639,789",34.6%,"$26,597,443","$14,197,389",53.4%,33.4%,4
044107,Hamilton City,Butler," $72,765,893 "," $10,355,478 ",14.23%," $75,519,221 "," $8,980,273 ",11.89%," $79,980,405 "," $11,212,719 ",14.02%,"$82,409,779","$17,052,828",20.7%,"$85,622,328","$24,140,909",28.2%,17.8%,7
044115,Heath City,Licking," $14,389,731 "," $2,692,999 ",18.71%," $14,466,364 "," $1,358,969 ",9.39%," $14,708,804 "," $1,902,851 ",12.94%,"$15,253,031","$3,662,225",24.0%,"$16,515,083","$4,866,067",29.5%,18.9%,4
044123,Hillsboro City,Highland," $22,002,498 "," $4,730,016 ",21.50%," $22,038,800 "," $5,155,731 ",23.39%," $23,292,123 "," $5,781,201 ",24.82%,"$25,224,895","$5,907,735",23.4%,"$26,412,166","$6,325,972",24.0%,23.4%,4
044131,Huron City Schools,Erie," $15,798,317 "," $6,997,969 ",44.30%," $16,573,826 "," $5,488,930 ",33.12%," $15,581,758 "," $5,268,210 ",33.81%,"$15,427,119","$4,913,734",31.9%,"$14,731,628","$5,323,288",36.1%,35.8%,5
044149,Ironton City,Lawrence," $12,140,350 "," $2,049,265 ",16.88%," $12,709,607 "," $1,998,323 ",15.72%," $12,496,303 "," $2,976,319 ",23.82%,"$13,599,214","$2,979,839",21.9%,"$14,037,927","$3,987,191",28.4%,21.3%,4
044156,Jackson City,Jackson," $19,604,852 "," $5,243,830 ",26.75%," $19,204,512 "," $6,753,447 ",35.17%," $19,724,466 "," $8,863,310 ",44.94%,"$21,030,938","$9,746,257",46.3%,"$21,536,728","$10,476,328",48.6%,40.4%,3
044164,Kent City,Portage," $43,378,215 "," $17,005,343 ",39.20%," $43,338,000 "," $13,954,148 ",32.20%," $44,901,833 "," $13,342,907 ",29.72%,"$43,298,951","$17,894,709",41.3%,"$45,303,601","$21,850,316",48.2%,38.1%,5
044172,Kenton City,Hardin," $16,603,239 "," $3,045,503 ",18.34%," $16,601,207 "," $4,026,454 ",24.25%," $17,272,312 "," $5,407,791 ",31.31%,"$20,496,678","$4,736,325",23.1%,"$19,619,389","$6,222,707",31.7%,25.7%,1
044180,Kettering City,Montgomery," $80,797,894 "," $13,171,025 ",16.30%," $80,482,758 "," $12,331,520 ",15.32%," $83,338,266 "," $14,224,574 ",17.07%,"$86,458,245","$17,312,107",20.0%,"$87,173,697","$21,392,899",24.5%,18.7%,5
044198,Lakewood City,Cuyahoga," $69,887,200 "," $16,462,648 ",23.56%," $67,901,754 "," $18,991,738 ",27.97%," $67,428,678 "," $22,007,873 ",32.64%,"$68,372,029","$24,214,836",35.4%,"$68,236,302","$28,136,803",41.2%,32.2%,5
044206,Lancaster City,Fairfield," $54,976,496 "," $29,558,926 ",53.77%," $55,438,701 "," $31,776,658 ",57.32%," $56,578,773 "," $36,302,226 ",64.16%,"$58,467,539","$41,748,466",71.4%,"$67,605,347","$39,092,614",57.8%,60.9%,4
044214,Lebanon City,Warren," $42,884,502 "," $7,526,351 ",17.55%," $43,461,239 "," $8,658,066 ",19.92%," $45,838,748 "," $10,545,482 ",23.01%,"$45,296,646","$14,604,286",32.2%,"$48,983,551","$19,211,322",39.2%,26.4%,5
044222,Lima City,Allen," $45,163,614 "," $1,292,467 ",2.86%," $43,846,256 "," $2,064,541 ",4.71%," $44,030,719 "," $5,760,563 ",13.08%,"$45,497,209","$11,810,475",26.0%,"$57,360,505","$15,789,563",27.5%,14.8%,7
044230,Lockland Local,Hamilton," $7,428,847 "," $1,836,304 ",24.72%," $7,128,396 "," $1,148,595 ",16.11%," $7,224,429 "," $950,749 ",13.16%,"$6,460,390","$1,260,623",19.5%,"$6,946,379","$2,040,669",29.4%,20.6%,7
044248,Logan-Hocking Local,Hocking," $33,709,326 "," $8,379,037 ",24.86%," $34,047,736 "," $7,595,819 ",22.31%," $34,172,299 "," $8,091,806 ",23.68%,"$34,116,186","$8,516,915",25.0%,"$34,439,843","$8,613,345",25.0%,24.2%,1
044255,London City,Madison," $19,222,156 "," $1,149,976 ",5.98%," $17,914,515 "," $2,119,521 ",11.83%," $17,996,001 "," $3,593,912 ",19.97%,"$18,299,132","$5,831,211",31.9%,"$19,274,686","$7,003,496",36.3%,21.2%,4
044263,Lorain City,Lorain," $92,390,882 "," $2,777,516 ",3.01%," $90,658,034 "," $3,970,417 ",4.38%," $95,648,260 "," $2,538,915 ",2.65%,"$95,292,091","$7,709,173",8.1%,"$99,232,472","$14,317,753",14.4%,6.5%,7
044271,Loveland City,Hamilton," $40,693,181 "," $4,196,689 ",10.31%," $40,898,456 "," $3,758,853 ",9.19%," $41,452,921 "," $4,038,660 ",9.74%,"$42,214,149","$7,748,444",18.4%,"$44,372,147","$12,433,258",28.0%,15.1%,6
044289,Madeira City,Hamilton," $16,126,802 "," $6,033,403 ",37.41%," $16,416,174 "," $7,121,603 ",43.38%," $17,620,861 "," $7,169,980 ",40.69%,"$17,526,196","$7,782,169",44.4%,"$18,134,039","$7,984,247",44.0%,42.0%,6
044297,Mansfield City,Richland," $55,043,978 "," $1,857,594 ",3.37%," $53,962,724 "," $3,615,249 ",6.70%," $57,519,157 "," $3,149,766 ",5.48%,"$53,723,254","$7,998,595",14.9%,"$54,183,140","$11,963,598",22.1%,10.5%,7
044305,Maple Heights City,Cuyahoga," $39,948,171 "," $321,092 ",0.80%," $38,582,394 "," $1,178,072 ",3.05%," $39,263,345 "," $785,818 ",2.00%,"$39,583,632","$1,739,235",4.4%,"$41,195,025","$3,059,805",7.4%,3.5%,7
044313,Mariemont City,Hamilton," $23,535,615 "," $4,229,880 ",17.97%," $21,461,477 "," $6,733,739 ",31.38%," $20,690,068 "," $7,534,402 ",36.42%,"$20,897,362","$9,712,062",46.5%,"$21,199,846","$12,415,848",58.6%,38.2%,6
044321,Marietta City,Washington," $22,510,721 "," $1,841,931 ",8.18%," $23,475,165 "," $2,078,194 ",8.85%," $23,477,768 "," $2,687,189 ",11.45%,"$24,052,074","$3,712,899",15.4%,"$24,403,618","$4,409,540",18.1%,12.4%,3
044339,Marion City,Marion," $46,272,186 "," $15,189,865 ",32.83%," $46,326,497 "," $14,498,196 ",31.30%," $48,034,060 "," $14,125,261 ",29.41%,"$53,114,370","$12,868,051",24.2%,"$57,069,565","$9,189,754",16.1%,26.8%,7
044347,Martins Ferry City,Belmont," $12,492,961 "," $291,282 ",2.33%," $12,358,912 "," $1,133,137 ",9.17%," $12,845,684 "," $1,851,817 ",14.42%,"$12,986,040","$3,294,596",25.4%,"$14,271,400","$3,457,820",24.2%,15.1%,4
044354,Massillon City,Stark," $40,030,062 "," $4,867,389 ",12.16%," $37,887,941 "," $5,977,359 ",15.78%," $38,487,590 "," $9,427,336 ",24.49%,"$39,029,964","$15,749,467",40.4%,"$40,936,208","$22,410,286",54.7%,29.5%,7
044362,Maumee City,Lucas," $28,833,532 "," $2,725,368 ",9.45%," $28,409,005 "," $3,184,813 ",11.21%," $28,495,586 "," $3,445,245 ",12.09%,"$29,368,631","$3,693,873",12.6%,"$29,235,218","$4,997,076",17.1%,12.5%,5
044370,Mayfield City,Cuyahoga," $61,367,912 "," $22,744,318 ",37.06%," $60,723,738 "," $25,191,689 ",41.49%," $62,516,334 "," $28,058,971 ",44.88%,"$65,124,412","$29,705,690",45.6%,"$63,773,089","$31,998,689",50.2%,43.8%,5
044388,Medina City SD,Medina," $69,102,761 "," $18,489,436 ",26.76%," $65,278,663 "," $21,423,295 ",32.82%," $64,787,094 "," $29,376,292 ",45.34%,"$68,391,912","$39,469,240",57.7%,"$70,786,910","$47,858,603",67.6%,46.0%,5
044396,Miamisburg City,Montgomery," $48,392,740 "," $6,842,391 ",14.14%," $46,252,442 "," $7,994,761 ",17.29%," $47,692,944 "," $9,923,095 ",20.81%,"$48,935,266","$11,870,434",24.3%,"$51,755,123","$13,367,374",25.8%,20.5%,5
044404,Middletown City,Butler," $71,140,500 "," $1,690,044 ",2.38%," $69,187,704 "," $1,523,221 ",2.20%," $72,865,608 "," $1,649,253 ",2.26%,"$75,764,007","$2,593,485",3.4%,"$73,793,320","$8,064,274",10.9%,4.2%,7
044412,Mt Healthy City,Hamilton," $35,170,358 "," $3,427,581 ",9.75%," $31,832,418 "," $6,721,308 ",21.11%," $32,831,680 "," $10,377,474 ",31.61%,"$35,011,533","$14,562,028",41.6%,"$36,893,779","$17,434,768",47.3%,30.3%,7
044420,Mount Vernon City,Knox," $31,197,434 "," $2,309,394 ",7.40%," $31,604,704 "," $1,150,829 ",3.64%," $32,240,683 "," $2,095,030 ",6.50%,"$34,540,087","$3,726,004",10.8%,"$35,215,493","$6,358,425",18.1%,9.3%,3
044438,Napoleon Area City,Henry," $20,367,912 "," $9,352,544 ",45.92%," $19,812,444 "," $9,242,761 ",46.65%," $20,452,553 "," $9,970,321 ",48.75%,"$20,222,598","$12,125,631",60.0%,"$20,158,806","$14,906,342",73.9%,55.0%,4
044446,Nelsonville-York City,Athens," $11,655,826 "," $3,230,125 ",27.71%," $11,160,111 "," $3,549,519 ",31.81%," $11,244,943 "," $4,674,710 ",41.57%,"$12,212,655","$5,012,267",41.0%,"$12,861,892","$5,494,236",42.7%,37.0%,1
044453,Newark City,Licking," $59,147,846 "," $15,026,601 ",25.41%," $59,589,685 "," $16,033,865 ",26.91%," $62,020,228 "," $17,263,531 ",27.84%,"$62,563,953","$21,132,672",33.8%,"$65,901,704","$24,959,188",37.9%,30.4%,7
044461,New Boston Local,Scioto," $4,338,653 "," $1,436,813 ",33.12%," $4,389,006 "," $1,553,678 ",35.40%," $5,128,214 "," $970,980 ",18.93%,"$4,714,170","$886,658",18.8%,"$4,844,880","$1,353,283",27.9%,26.8%,4
044479,New Lexington City,Perry," $18,521,311 "," $2,712,671 ",14.65%," $18,670,894 "," $2,442,336 ",13.08%," $18,960,647 "," $2,246,718 ",11.85%,"$19,487,713","$2,035,032",10.4%,"$20,258,884","$2,377,076",11.7%,12.4%,1
044487,New Philadelphia City,Tuscarawas," $25,466,997 "," $7,517,785 ",29.52%," $26,300,003 "," $5,141,471 ",19.55%," $26,448,229 "," $3,210,454 ",12.14%,"$27,026,717","$4,140,875",15.3%,"$27,876,712","$6,135,583",22.0%,19.7%,4
044495,Niles City,Trumbull," $23,730,927 "," $31,542 ",0.13%," $22,479,129 "," $82,880 ",0.37%," $23,369,890 "," $170,403 ",0.73%,"$24,339,533","$619,412",2.5%,"$25,935,483","$518,130",2.0%,1.2%,4
044503,North Canton City,Stark," $39,604,323 "," $5,401,105 ",13.64%," $39,582,418 "," $6,136,450 ",15.50%," $42,817,447 "," $6,703,195 ",15.66%,"$43,494,543","$7,057,106",16.2%,"$43,465,273","$7,634,217",17.6%,15.7%,5
